fid,NVRID,NAMN,SKYDDSTYP,BESLSTATUS,URSBESLDAT,IKRAFTDATF,URSGALLDAT,SENGALLDAT,TILLSYNSMH,PROVNMHDIS,PROVNMHTIL,LAN,KOMMUN,IUCNKAT,FORVALTARE,AREA_HA,LAND_HA,VATTEN_HA,SKOG_HA,GEOSTATUS,DIARIENR,LAGRUM,BESLMYND
340,"2021366",Askarehage,Naturreservat,Gällande,2009/05/14,,2009/08/13,2009/08/13,,,,Stockholms Län,Sigtuna,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Sigtuna kommun,97.544,81.86,15.73,13.06,Ospecificerad,KS 2009:30,Miljöbalken,Kommun
341,"2002305",Stavsudda-Tjägö,Naturreservat,Gällande,1974/07/05,,1974/08/02,1974/08/02,,,,Stockholms Län,Värmdö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,12.274,12.06,0.14,5.75,Ospecificerad,11.121-73-71  0120-02-033,Naturvårdslagen,Länsstyrelse
342,"2001147",Hästholmen,Naturreservat,Gällande,1968/08/23,,1968/09/20,1968/09/20,,,,Stockholms Län,Värmdö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,3.402,3.16,0.21,0.33,Justerad mot fastighetskarta,22R-121-73-67  0120-02-018,Naturvårdslagen,Länsstyrelse
343,"2002307",Storö,Naturreservat,Gällande,1983/10/18,,1985/12/19,2017/07/13,,,,Stockholms Län,Värmdö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,82.91,49.25,33.63,35.3,Ospecificerad,511-2003-013426,Miljöbalken,Länsstyrelse
344,"2002725",Alby,Naturreservat,Gällande,1975/12/10,,1976/01/07,2002/04/11,,,,Stockholms Län,Tyresö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Tyresö kommun,287.983,259.49,28.5,158.2,Slutligt inmätt,2001/0391 432,Miljöbalken,Kommun
345,"2043653",Gisslingö,Naturreservat,Gällande,2015/06/25,,2015/07/30,2026/04/15,,,,Stockholms Län,Norrtälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,122.524,95.08,27.5,61.13,Justerad mot fastighetskarta,511-62164-2025,Miljöbalken,Länsstyrelse
346,"2042827",Norrängsskogen,Naturreservat,Gällande,2014/11/14,,2014/12/29,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,56.956,46.83,10.17,41.78,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
347,"2005573",Flemingsbergsskogen,Naturreservat,Gällande,2006/04/03,,2007/01/29,2025/12/11,,,,Stockholms Län,"Botkyrka, Huddinge","Ib, Vildmarksområde (Wilderness Area)",Huddinge kommun,966.945,957.41,9.56,647.03,Ospecificerad,KS-2025/1465,Miljöbalken,Kommun
348,"2051278",Storängstorpet,Naturreservat,Gällande,2019/12/19,,2020/02/06,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,88.64,88.72,0,79.2,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
349,"2000830",Skansholmen,Naturreservat,Gällande,1933/07/27,,1933/07/27,1933/07/27,,,,Stockholms Län,Ekerö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,2.057,2.02,0.09,1.89,Justerad mot fastighetskarta,"0125-02-001  (Nr 2255, 639/251 SD)",Naturvårdslagen,Länsstyrelse
350,"2022409",Rösjöskogen,Naturreservat,Gällande,2010/06/09,,2010/07/27,2010/07/27,,,,Stockholms Län,Sollentuna,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Sollentuna kommun,206.103,182.44,23.87,150.09,Ospecificerad,511-2010-9369,Miljöbalken,Kommun
351,"2049439",Rensättra,Naturreservat,Gällande,2021/02/01,,2021/03/05,2021/03/05,,,,Stockholms Län,Nacka,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Nacka kommun,56.33,50.27,6.15,32.55,Ospecificerad,KFKS 2020/711,Miljöbalken,Kommun
352,"2001108",Hjälmö-Lådna,Naturreservat,Gällande,1991/03/18,,1991/05/30,2026/04/15,,,,Stockholms Län,"Värmdö, Österåker","V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Skärgårdsstiftelsen i Stockholms län,1569.056,694.32,875.52,446.61,Justerad mot fastighetskarta,511-62164-2025,Miljöbalken,Länsstyrelse
353,"2000632",Fiskarudden,Naturreservat,Gällande,1973/10/23,,1973/11/20,2021/05/12,,,,Stockholms Län,Norrtälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,4.441,4.44,0.02,2.27,Justerad mot fastighetskarta,511-20118-2020,Miljöbalken,Länsstyrelse
354,"2000881",Tullviksbäcken,Naturreservat,Gällande,1989/02/01,,1989/05/31,2026/04/15,,,,Stockholms Län,Norrtälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,238.793,130.73,107.91,90.65,Delvis inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
355,"2000170",Husby,Naturreservat,Gällande,1986/03/03,,1986/04/09,2026/04/15,,,,Stockholms Län,Ekerö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,19.576,19.33,0.22,18.97,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
356,"2001152",Laggatorp,Naturreservat,Gällande,1987/09/11,,1987/11/25,2021/05/12,,,,Stockholms Län,Sigtuna,"Ia, Strikt naturreservat (Strict Nature Reserve)",Luftfartsverket,8.174,8.16,0,5.08,Justerad mot fastighetskarta,,Miljöbalken,Länsstyrelse
357,"2000148",Björksättrahalvön,Naturreservat,Överklagat,1998/02/09,,1998/05/12,2025/12/11,,,,Stockholms Län,Huddinge,"Ia, Strikt naturreservat (Strict Nature Reserve)",Huddinge kommun,84.715,,,,Ospecificerad,KS-2022/2203.114,Miljöbalken,Kommun
358,"2000837",Paradiset,Naturreservat,Överklagat,2002/06/17,,2002/07/15,2025/12/11,,,,Stockholms Län,"Haninge, Huddinge","Ia, Strikt naturreservat (Strict Nature Reserve)",Huddinge kommun,757.813,,,,Ospecificerad,,Miljöbalken,Kommun
359,"2001392",Gömmaren,Naturreservat,Överklagat,,,,2010/07/26,,,,Stockholms Län,Huddinge,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Huddinge kommun,765.927,,,,Ospecificerad,,Miljöbalken,Kommun
360,"2001393",Orlången,Naturreservat,Överklagat,,,,2025/12/11,,,,Stockholms Län,Huddinge,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Huddinge kommun,1778.574,,,,Ospecificerad,KS-2022/2203.114,Miljöbalken,Kommun
361,"2005573",Flemingsbergsskogen,Naturreservat,Överklagat,2006/04/03,,2007/01/29,2025/12/11,,,,Stockholms Län,"Botkyrka, Huddinge","Ib, Vildmarksområde (Wilderness Area)",Huddinge kommun,966.946,,,,Ospecificerad,KS-2022/2203.114,Miljöbalken,Kommun
362,"2043287",Lissmadalen,Naturreservat,Överklagat,2014/06/09,,2014/07/24,2025/12/11,,,,Stockholms Län,Huddinge,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Huddinge kommun,185.283,,,,Justerad mot fastighetskarta,,Miljöbalken,Kommun
363,"2201324",Löka 6:1,Naturreservat,Beslutat,2025/10/27,,,,,,,Stockholms Län,Värmdö,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Länsstyrelsen i Stockholms län,41.125,,,,Justerad mot fastighetskarta,32274?2022,Miljöbalken,Saknas
364,"2002900",Kullö,Naturreservat,Gällande,2004/11/29,,2004/12/29,2004/12/29,,,,Stockholms Län,Vaxholm,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Vaxholms kommun,27.601,27.54,0.05,19.91,Ospecificerad,308/1999,Miljöbalken,Kommun
365,"2005488",Nackareservatet i Stockholm,Naturreservat,Gällande,2006/05/29,,2006/07/10,2006/07/10,,,,Stockholms Län,"Nacka, Stockholm","Ia, Strikt naturreservat (Strict Nature Reserve)",Stockholms kommun,101.157,95.5,5.56,75.33,Ospecificerad,304-1835/2006,Miljöbalken,Kommun
366,"2046836",Gammalbyberg,Naturreservat,Gällande,2017/12/11,,2018/01/11,2021/05/12,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,17.872,17.84,0,14.95,Ospecificerad,511-20118-2020,Miljöbalken,Länsstyrelse
367,"2045731",Stortjäran,Naturreservat,Gällande,2016/12/19,,2017/01/19,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,26.793,26.84,0,26.53,Ospecificerad,511-62164-2025,Miljöbalken,Länsstyrelse
368,"2026369",Kolartorp,Naturreservat,Gällande,2011/07/11,,2011/08/11,2026/04/15,,,,Stockholms Län,Haninge,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Länsstyrelsen i Stockholms län,1.71,1.71,0,0.71,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
369,"2030109",Dyviks lövängar,Naturreservat,Gällande,2011/12/15,,2012/02/14,2012/02/14,,,,Stockholms Län,Tyresö,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Tyresö kommun,17.034,11.97,5.03,6.98,Justerad mot fastighetskarta,2011/KSTK 0127 090,Miljöbalken,Kommun
370,"2021127",Lida,Naturreservat,Gällande,2010/06/17,,2010/07/20,2010/07/20,,,,Stockholms Län,Botkyrka,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Botkyrka kommun,825.192,809.04,16.03,579.46,Ospecificerad,511-2010-9372,Miljöbalken,Kommun
371,"2000840",Vigelsjö,Naturreservat,Gällande,1998/09/15,,1998/10/06,1998/10/06,,,,Stockholms Län,Norrtälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Norrtälje kommun,69.513,69.46,0,50.92,Justerad mot fastighetskarta,Ks/98 738.265,Naturvårdslagen,Kommun
372,"2000011",Grottberget,Naturreservat,Gällande,1996/04/09,,1996/06/22,1996/06/22,,,,Stockholms Län,Södertälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Södertälje kommun,5.68,5.57,0.16,4.34,Justerad mot fastighetskarta,"69/433,1995",Naturvårdslagen,Kommun
373,"2013015",Abborrträsk,Naturreservat,Gällande,2006/10/09,,2007/03/08,2007/03/08,,,,Stockholms Län,Nacka,"Ia, Strikt naturreservat (Strict Nature Reserve)",Nacka kommun,21.644,19.85,1.74,15.38,Justerad mot fastighetskarta,KFKS 148/2000 256,Miljöbalken,Kommun
374,"2061101",Telegrafberget,Naturreservat,Gällande,2021/01/28,,2021/03/28,2021/03/28,,,,Stockholms Län,Tyresö,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Tyresö kommun,136.76,127.71,9.02,58.21,Ospecificerad,KSM 2015-840-435,Miljöbalken,Kommun
375,"2047203",Djupviken,Naturreservat,Gällande,2018/06/18,,2018/07/19,2026/04/15,,,,Stockholms Län,Värmdö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,13.997,12.05,1.9,10.22,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
376,"2001107",Djurgård,Naturreservat,Gällande,1967/10/20,,1967/11/17,2006/04/12,,,,Stockholms Län,Ekerö,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,6.998,7,0,5.53,Slutligt inmätt,"511",Miljöbalken,Länsstyrelse
377,"2000847",Marum,Naturreservat,Gällande,1974/11/25,,1974/12/23,2021/05/12,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Norrtälje Naturvårdsstiftelse,38.266,25.38,12.86,22.27,Justerad mot fastighetskarta,,Miljöbalken,Länsstyrelse
378,"2000634",Öbacken-Bränninge,Naturreservat,Gällande,1992/10/06,,1993/10/24,1993/10/24,,,,Stockholms Län,Södertälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Södertälje kommun,23.986,23.89,0.19,18.61,Justerad mot fastighetskarta,"K 250 1990-05-28, MHN 157 1992-10-06 Södertälje kn",Naturvårdslagen,Kommun
379,"2000169",Huvududden,Naturreservat,Gällande,1970/10/29,,1970/11/26,2026/04/15,,,,Stockholms Län,Ekerö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,35.39,31.05,4.34,26.4,Justerad mot fastighetskarta,511-62164-2025,Miljöbalken,Länsstyrelse
380,"2002724",Gullringskärret,Naturreservat,Gällande,1986/03/27,,1986/04/28,2026/04/15,,,,Stockholms Län,Haninge,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,55.825,55.85,0,46.97,Justerad mot fastighetskarta,511-62164-2025,Miljöbalken,Länsstyrelse
381,"2000883",Östra Bröta,Naturreservat,Gällande,1992/11/01,,1992/11/30,1992/11/30,,,,Stockholms Län,Botkyrka,"Ia, Strikt naturreservat (Strict Nature Reserve)",Botkyrka kommun,16.131,16.2,0,15.9,Justerad mot fastighetskarta,"1992. 019015.831 Kommunstyrelse, Botkyrka",Naturvårdslagen,Kommun
382,"2000876",Långviksskär,Naturreservat,Gällande,1983/12/22,,1984/02/16,2025/12/18,,,,Stockholms Län,Värmdö,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,9.618,8.09,1.54,0.84,Ospecificerad,23437-2025,Miljöbalken,Länsstyrelse
383,"2005578",Vallensjö,Naturreservat,Gällande,2006/11/16,,2006/12/14,2026/04/15,,,,Stockholms Län,Upplands Väsby,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,16.235,16.2,0,16.1,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
