fid,NVRID,NAMN,SKYDDSTYP,BESLSTATUS,URSBESLDAT,IKRAFTDATF,URSGALLDAT,SENGALLDAT,TILLSYNSMH,PROVNMHDIS,PROVNMHTIL,LAN,KOMMUN,IUCNKAT,FORVALTARE,AREA_HA,LAND_HA,VATTEN_HA,SKOG_HA,GEOSTATUS,DIARIENR,LAGRUM,BESLMYND
18,"2000418",Slessberget,Naturreservat,Gällande,1992/10/15,,1992/12/01,2021/05/12,,,,Stockholms Län,Södertälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Svenska Kyrkan,32.03,32.02,0,24.66,Justerad mot fastighetskarta,511-20118-2020,Miljöbalken,Länsstyrelse
19,"2000148",Björksättrahalvön,Naturreservat,Gällande,1998/02/09,,1998/05/12,2025/12/11,,,,Stockholms Län,Huddinge,"Ia, Strikt naturreservat (Strict Nature Reserve)",Huddinge kommun,84.715,84.63,0.06,61.36,Ospecificerad,KS-2025/1465,Miljöbalken,Kommun
20,"2001155",Angarnssjöängen,Naturreservat,Gällande,1982/12/20,,1983/03/15,2026/04/15,,,,Stockholms Län,Vallentuna,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,565.09,549.55,15.43,114.94,Justerad mot fastighetskarta,511-62164-2025,Miljöbalken,Länsstyrelse
21,"2045415",Österslumpen,Naturreservat,Gällande,2017/12/08,,2018/01/23,2021/05/12,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,14.617,14.62,0,13.99,Slutligt inmätt,,Miljöbalken,Länsstyrelse
22,"2049661",Hökmossen,Naturreservat,Gällande,2019/04/01,,2019/05/02,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,24.538,24.52,0,23.47,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
23,"2013363",Bonavik,Naturreservat,Gällande,2007/12/19,,2008/01/24,2026/04/15,,,,Stockholms Län,Ekerö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,23.658,15.54,8.1,15.1,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
24,"2001394",Velamsund,Naturreservat,Gällande,1992/11/30,,1993/09/07,1993/09/07,,,,Stockholms Län,"Nacka, Värmdö","V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Nacka kommun,689.004,611.73,77.32,434.06,Justerad mot fastighetskarta,Nacka kommun KS 1992  238,Naturvårdslagen,Kommun
25,"2014216",Storanden,Naturreservat,Gällande,2008/09/29,,2008/11/06,2021/05/12,,,,Stockholms Län,Norrtälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,92.693,92.64,0,55.75,Slutligt inmätt,,Miljöbalken,Länsstyrelse
26,"2000154",Eldgarnsö,Naturreservat,Gällande,1979/06/05,,1979/07/03,2026/04/15,,,,Stockholms Län,"Ekerö, Upplands-Bro","Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,510.286,204.82,305.48,117.31,Justerad mot fastighetskarta,511-62164-2025,Miljöbalken,Länsstyrelse
27,"2050366",Fäberget,Naturreservat,Gällande,2018/12/11,,2019/01/10,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,45.388,45.42,0,42.8,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
28,"2002816",Adelsö-Sättra,Naturreservat,Gällande,2004/09/22,,2004/10/21,2026/04/15,,,,Stockholms Län,Ekerö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,26.216,26.17,0,25.71,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
29,"2000015",Brinkbäcken,Naturreservat,Gällande,1993/05/18,,1993/06/21,2026/04/15,,,,Stockholms Län,Botkyrka,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,53.575,53.47,0,47.97,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
30,"2000843",Öarna i Stora Värtan,Naturreservat,Gällande,2000/12/11,,2001/01/08,2001/01/08,,,,Stockholms Län,Danderyd,"Ia, Strikt naturreservat (Strict Nature Reserve)",Danderyds kommun,115.52,16.12,99.33,11.38,Justerad mot fastighetskarta,,Miljöbalken,Kommun
31,"2005702",Steningedalen,Naturreservat,Gällande,2006/09/28,,2006/11/23,2006/11/23,,,,Stockholms Län,Sigtuna,"Ia, Strikt naturreservat (Strict Nature Reserve)",Sigtuna kommun,139.119,130.73,8.44,44.14,Slutligt inmätt,KS/2006:472-265,Miljöbalken,Kommun
32,"2045419",Klovsten,Naturreservat,Gällande,2018/11/30,,2019/01/03,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,60.493,60.34,0.09,53.71,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
33,"2043266",Singö-Söderby,Naturreservat,Gällande,2016/09/20,,2016/10/27,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,39.829,35.21,4.65,32.36,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
34,"2005586",Liss-Mårdsjöskogen,Naturreservat,Gällande,2006/11/16,,2006/12/14,2021/05/12,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,21.723,20.46,1.25,17.03,Slutligt inmätt,,Miljöbalken,Länsstyrelse
35,"2043888",Landsboda,Naturreservat,Gällande,2016/02/10,,2016/03/10,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,51.74,50.16,1.64,40.51,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
36,"2005580",Kornamossen,Naturreservat,Gällande,2006/11/16,,2006/12/14,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,70.292,70.27,0,57.1,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
37,"2031250",Ladängssjön,Naturreservat,Gällande,2012/08/08,,2012/09/20,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,79.172,78.43,0.86,76.48,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
38,"2005537",Sätraskogen,Naturreservat,Gällande,2006/06/12,,2006/07/20,2006/07/20,,,,Stockholms Län,Stockholm,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Stockholms kommun,256.596,207.25,49.17,137,Ospecificerad,304-1736/2006,Miljöbalken,Kommun
39,"2005592",Hummelberget,Naturreservat,Gällande,2006/11/16,,2006/12/14,2021/05/12,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,69.936,68.96,1.02,67,Slutligt inmätt,511-20118-2020,Miljöbalken,Länsstyrelse
40,"2042767",Oxön,Naturreservat,Gällande,2015/02/17,,2015/03/19,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,17.751,17.78,0,17.7,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
41,"2000954",Halsfambaken,Naturreservat,Gällande,1974/07/05,,1974/08/02,1974/08/02,,,,Stockholms Län,Österåker,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,5.962,5.97,0,3.23,Justerad mot fastighetskarta,11.121-607-74  0117-02-007,Naturvårdslagen,Länsstyrelse
42,"2041593",Moraåns dalgång,Naturreservat,Gällande,2013/09/03,,2013/10/08,2013/10/08,,,,Stockholms Län,Södertälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Södertälje kommun,66.841,66.83,0,21.95,Slutligt inmätt,2008-1459,Miljöbalken,Kommun
43,"2000149",Gladöskogen,Naturreservat,Gällande,1998/02/09,,1998/05/12,2025/12/11,,,,Stockholms Län,Huddinge,"Ia, Strikt naturreservat (Strict Nature Reserve)",Huddinge kommun,22.39,22.39,0,17.4,Ospecificerad,KS-2025/1465,Miljöbalken,Kommun
44,"2042247",Storlaven,Naturreservat,Gällande,2014/11/24,,2014/12/25,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,56.339,55.23,1.06,52.83,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
45,"2014890",Torslunda,Naturreservat,Gällande,2009/03/12,,2010/06/29,2026/04/15,,,,Stockholms Län,Sigtuna,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,33.738,33.8,0,32.94,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
46,"2002636",Munkö,Naturreservat,Gällande,1957/09/14,,1957/10/12,2026/04/15,,,,Stockholms Län,Värmdö,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,97.91,57.88,40.05,36.82,Ospecificerad,511-62164-2025,Miljöbalken,Länsstyrelse
47,"2000834",Grundsjömossarna,Naturreservat,Gällande,2001/10/03,,2001/11/08,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,226.05,225.18,0.87,162.63,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
48,"2046227",Hamnskogen-Eriksberg,Naturreservat,Gällande,2016/10/26,,2016/12/07,2016/12/07,,,,Stockholms Län,Värmdö,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Värmdö kommun,34.717,29.35,5.32,20.63,Ospecificerad,15KS/86,Miljöbalken,Kommun
49,"2000626",Skötkobbarna,Naturreservat,Gällande,1973/10/09,,1973/11/06,1992/10/07,,,,Stockholms Län,Värmdö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,3.752,0.89,2.86,0,Justerad mot fastighetskarta,"231-1991-1713, 0120-02-028",Naturvårdslagen,Länsstyrelse
50,"2000622",Lina,Naturreservat,Gällande,1992/10/06,,1993/11/18,2010/03/04,,,,Stockholms Län,Södertälje,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Södertälje kommun,312.477,303.01,9.45,185.82,Delvis inmätt,2007-1558,Miljöbalken,Kommun
51,"2002735",Käringboda,Naturreservat,Gällande,1974/12/20,,1975/01/17,2026/04/15,,,,Stockholms Län,Nynäshamn,"Ia, Strikt naturreservat (Strict Nature Reserve)",Skärgårdsstiftelsen i Stockholms län,1494.112,1082.2,412.02,689.76,Delvis inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
52,"2056981",Skarpnäs,Naturreservat,Gällande,2022/06/20,,2022/10/01,2024/09/11,,,,Stockholms Län,Nacka,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Nacka kommun,239.929,219.71,20.12,141.4,Ospecificerad,,Miljöbalken,Kommun
53,"2002833",Ön-Bokulludden,Naturreservat,Gällande,2003/02/24,,2003/03/27,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,14.981,14.92,0.08,14.75,Ospecificerad,511-62164-2025,Miljöbalken,Länsstyrelse
54,"2051761",Rävsta,Naturreservat,Gällande,2018/06/19,,2019/07/10,2019/07/10,,,,Stockholms Län,Sigtuna,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Sigtuna kommun,257.736,257.43,0.15,170.59,Ospecificerad,Dnr KS/2014:419,Miljöbalken,Kommun
55,"2041886",Trollsjön,Naturreservat,Gällande,2013/12/16,,2014/04/11,2014/04/11,,,,Stockholms Län,Nacka,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Nacka kommun,17.318,17.07,0.23,10.34,Justerad mot fastighetskarta,KFKS 2013/551-265,Miljöbalken,Kommun
56,"2014215",Norrhenninge,Naturreservat,Gällande,2008/09/29,,2008/11/06,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,14.4,14.42,0,14.08,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
57,"2001139",Vidinge,Naturreservat,Gällande,1974/07/05,,1974/08/02,1974/08/02,,,,Stockholms Län,Norrtälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Skärgårdsstiftelsen i Stockholms län,38.725,38.31,0.36,14.89,Justerad mot fastighetskarta,"11.121-127-73,-51-71,-54-71,0188-02-025",Naturvårdslagen,Länsstyrelse
58,"2000884",Stora och Lilla Sandböte,Naturreservat,Gällande,1938/04/26,,1938/04/26,1992/04/13,,,,Stockholms Län,Haninge,"Ia, Strikt naturreservat (Strict Nature Reserve)",Skärgårdsstiftelsen i Stockholms län,20.963,20.38,0.55,3.66,Justerad mot fastighetskarta,"231-1991-1708, 0136-02-001",Naturvårdslagen,Länsstyrelse
59,"2000627",Fysingen,Naturreservat,Gällande,1984/05/29,,1984/11/22,2026/04/15,,,,Stockholms Län,Sigtuna,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,184.007,126.32,57.75,31.25,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
60,"2001388",Kappsta,Naturreservat,Gällande,1995/12/18,,1996/02/06,2021/05/12,,,,Stockholms Län,Lidingö,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Lidingö kommun,9.994,8.73,1.2,7.78,Justerad mot fastighetskarta,511-20118-2020,Miljöbalken,Länsstyrelse
61,"2014211",Ålö-Rånö,Naturreservat,Gällande,2008/05/16,,2008/06/19,2026/04/15,,,,Stockholms Län,Haninge,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Skärgårdsstiftelsen i Stockholms län,2828.731,1069.91,1758.78,602.49,Delvis inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
62,"2002963",Flaten,Naturreservat,Gällande,2004/11/22,,2004/12/21,2007/01/30,,,,Stockholms Län,"Huddinge, Stockholm, Tyresö","V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Stockholms kommun,735.622,541.82,193.97,360.65,Ospecificerad,304-1683/2003,Miljöbalken,Kommun
63,"2000624",Sandholmarna,Naturreservat,Gällande,1995/05/30,,1995/09/27,1995/09/27,,,,Stockholms Län,Tyresö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Tyresö kommun,75.325,30.67,44.67,8.83,Justerad mot fastighetskarta,Tyresö kommun 1994.0099  265,Naturvårdslagen,Kommun
64,"2000887",Gällnö,Naturreservat,Gällande,1978/04/10,,1978/05/08,2026/04/15,,,,Stockholms Län,Värmdö,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Skärgårdsstiftelsen i Stockholms län,270.414,149.47,120.84,112.38,Ospecificerad,511-62164-2025,Miljöbalken,Länsstyrelse
65,"2002731",Skevik,Naturreservat,Gällande,1949/11/23,,1949/12/21,2026/04/15,,,,Stockholms Län,Värmdö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,3.247,3.26,0,1.89,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
66,"2002299",Fjärdlång,Naturreservat,Gällande,1986/03/03,,1986/05/05,2026/04/15,,,,Stockholms Län,"Haninge, Värmdö","V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Skärgårdsstiftelsen i Stockholms län,5089.013,548,4540.85,176.88,Justerad mot fastighetskarta,511-62164-2025,Miljöbalken,Länsstyrelse
67,"2001387",Ören,Naturreservat,Gällande,,,,2023/10/17,,,,Stockholms Län,Nynäshamn,"Ia, Strikt naturreservat (Strict Nature Reserve)",Nynäshamns kommun,116.529,106.52,10.04,93.17,Justerad mot fastighetskarta,KS/2021/0117/265,Miljöbalken,Kommun
68,"2000140",Hansta,Naturreservat,Gällande,1998/08/26,,1999/12/08,2014/05/14,,,,Stockholms Län,"Sollentuna, Stockholm","V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Stockholms kommun,269.713,269.59,0,214.49,Justerad mot fastighetskarta,2011-09415-55,Miljöbalken,Kommun
69,"2002734",Fifång,Naturreservat,Gällande,1999/05/28,,1999/07/07,2026/04/15,,,,Stockholms Län,"Nynäshamn, Södertälje, Trosa","IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,1720.859,236.43,1484.37,89.9,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
70,"2000019",Judarskogen,Naturreservat,Gällande,1995/06/21,,1995/11/29,1995/11/29,,,,Stockholms Län,Stockholm,"Ia, Strikt naturreservat (Strict Nature Reserve)",Stockholms kommun,94.871,88.32,6.58,71.38,Justerad mot fastighetskarta,94-512-230,Naturvårdslagen,Kommun
71,"2042610",Tegelhagsskogen,Naturreservat,Gällande,2014/06/16,,2014/09/02,2014/09/02,,,,Stockholms Län,Sollentuna,"Ia, Strikt naturreservat (Strict Nature Reserve)",Sollentuna kommun,91.246,83.68,7.57,66.36,Ospecificerad,KS 2011/217-51,Miljöbalken,Kommun
72,"2044042",Svärdsö,Naturreservat,Gällande,2014/12/15,,2016/04/14,2016/04/14,,,,Stockholms Län,Nacka,"Ia, Strikt naturreservat (Strict Nature Reserve)",Nacka kommun,147.88,55.64,92.26,34.36,Justerad mot fastighetskarta,KFKS 2014/955-265,Miljöbalken,Kommun
73,"2000145",Munkholmen,Naturreservat,Gällande,1965/09/01,,1965/09/29,2009/10/01,,,,Stockholms Län,Sigtuna,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Sigtuna kommun,4.333,4.32,0.03,3.49,Ospecificerad,Ks/2009:31,Miljöbalken,Kommun
74,"2000159",Råda,Naturreservat,Gällande,1975/02/26,,1975/03/26,2026/04/15,,,,Stockholms Län,Norrtälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,62.899,62.87,0,58.65,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
75,"2001110",Tyresta,Naturreservat,Gällande,1986/04/09,,1987/06/16,2026/04/15,,,,Stockholms Län,"Haninge, Tyresö","Ib, Vildmarksområde (Wilderness Area)",Stiftelsen Tyrestaskogen,2948.948,2601.24,347.39,1570.39,Justerad mot fastighetskarta,511-62164-2025,Miljöbalken,Länsstyrelse
76,"2000839",Stavsudda-Krokholmen,Naturreservat,Gällande,1974/07/05,,1974/08/02,1974/08/02,,,,Stockholms Län,Värmdö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,4.163,4.06,0.06,2.4,Ospecificerad,11.121-58-71  0120-02-032,Naturvårdslagen,Länsstyrelse
77,"2045230",Norra Törnskogen,Naturreservat,Gällande,2016/06/20,,2016/07/21,2016/07/21,,,,Stockholms Län,Upplands Väsby,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Upplands Väsby kommun,103.789,103.84,0,68.4,Ospecificerad,511-25188-2016,Miljöbalken,Kommun
78,"2002302",Fäviksgrundet,Naturreservat,Gällande,1970/01/19,,1970/02/16,1970/02/16,,,,Stockholms Län,Norrtälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Norrtälje kommun,0.632,0.57,0.05,0.54,Justerad mot fastighetskarta,22R11-54-69   0188-02-010,Naturvårdslagen,Länsstyrelse
79,"2027609",Mårdsjön,Naturreservat,Gällande,2011/05/04,,2011/06/09,2021/05/12,,,,Stockholms Län,Norrtälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,23.557,22.83,0.7,20.24,Slutligt inmätt,,Miljöbalken,Länsstyrelse
80,"2000629",Rimsjöskogen,Naturreservat,Gällande,1996/08/16,,1996/11/11,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,29.302,29.3,0,28.91,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
81,"2000841",Oxnäset,Naturreservat,Gällande,2002/05/07,,2002/06/04,2002/06/04,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Norrtälje kommun,7.77,7.68,0.08,6.36,Justerad mot fastighetskarta,,Miljöbalken,Kommun
82,"2002909",Igelbäcken i Solna,Naturreservat,Gällande,2004/06/21,,2005/02/15,2005/02/15,,,,Stockholms Län,"Solna, Sundbyberg","Ia, Strikt naturreservat (Strict Nature Reserve)",Solna kommun,166.533,165.43,1.16,96.31,Justerad mot fastighetskarta,KS/1998:301,Miljöbalken,Kommun
83,"2001395",Björkby-Kyrkviken,Naturreservat,Gällande,,,,2009/01/09,,,,Stockholms Län,Vallentuna,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Vallentuna kommun,99.645,62.89,36.69,8.09,Ospecificerad,511-2007-83176,Miljöbalken,Länsstyrelse
84,"2024689",Lovö,Naturreservat,Gällande,2014/03/17,,2015/10/29,2026/04/15,,,,Stockholms Län,"Ekerö, Stockholm","V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Statens Fastighetsverk,3202.695,2069.54,1132.97,1153.18,Justerad mot fastighetskarta,511-62164-2025,Miljöbalken,Länsstyrelse
85,"2026490",Svartsjön,Naturreservat,Gällande,2011/07/11,,2011/08/11,2026/04/15,,,,Stockholms Län,"Haninge, Huddinge","Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,36.007,28.99,7.02,4.25,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
86,"2000875",Stora Nassa,Naturreservat,Gällande,1965/10/11,,1965/11/08,2025/01/24,,,,Stockholms Län,"Norrtälje, Värmdö","Ib, Vildmarksområde (Wilderness Area)",Elisabet och Robert Nathansons Fam. Stiftelse Stora Nassa,2942.815,276.25,2666.6,3.8,Justerad mot fastighetskarta,511-26361-2023,Miljöbalken,Länsstyrelse
87,"2001138",Stora Sunnkobben,Naturreservat,Gällande,1974/01/21,,1974/02/18,1974/02/18,,,,Stockholms Län,Norrtälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,7.121,6.83,0.25,0.02,Justerad mot fastighetskarta,11.121-36-71    0188-02-021,Naturvårdslagen,Länsstyrelse
88,"2000878",Rönninge by-Skavlöten,Naturreservat,Gällande,2002/06/17,,2002/07/15,2002/07/15,,,,Stockholms Län,Täby,"Ia, Strikt naturreservat (Strict Nature Reserve)",Täby kommun,179.496,179.04,0.47,134.57,Justerad mot fastighetskarta,,Miljöbalken,Kommun
89,"2000004",Sättra gård,Naturreservat,Gällande,1970/07/31,,1970/08/28,1970/08/28,,,,Stockholms Län,"Upplands Väsby, Upplands-Bro","Ia, Strikt naturreservat (Strict Nature Reserve)",Upplands Väsby kommun,213.083,155.23,57.82,95.05,Justerad mot fastighetskarta,22R11-21-70  0114-02-001,Naturvårdslagen,Länsstyrelse
90,"2000625",Södra Stavsudda,Naturreservat,Gällande,1970/11/15,,1970/12/13,1970/12/13,,,,Stockholms Län,Värmdö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,2.722,2.19,0.52,0.13,Slutligt inmätt,22R-11-78-70   0120-02-023,Naturvårdslagen,Länsstyrelse
91,"2028209",Vackstaskogen,Naturreservat,Gällande,2011/12/28,,2012/02/27,2026/04/15,,,,Stockholms Län,"Nykvarn, Södertälje","IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,27.839,23.28,4.59,18.52,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
92,"2013395",Kamsmosskogen,Naturreservat,Gällande,2008/07/30,,2008/09/04,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,23.634,23.62,0,22.19,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
93,"2000844",Aspdalssjön,Naturreservat,Gällande,1996/12/03,,1997/01/07,2026/04/15,,,,Stockholms Län,"Norrtälje, Uppsala","IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,118.559,93.83,24.78,82.02,Justerad mot fastighetskarta,511-62164-2025,Miljöbalken,Länsstyrelse
94,"2002300",Möja Björndalen,Naturreservat,Gällande,1992/05/25,,1992/07/13,2026/04/15,,,,Stockholms Län,Värmdö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Skärgårdsstiftelsen i Stockholms län,143.343,143.23,0.07,86.59,Justerad mot fastighetskarta,511-62164-2025,Miljöbalken,Länsstyrelse
95,"2057621",Uddaberget,Naturreservat,Gällande,2024/06/12,,2024/12/05,2024/12/05,,,,Stockholms Län,Södertälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,373.49,362.46,11.04,267.48,Slutligt inmätt,511-72777-2020,Miljöbalken,Länsstyrelse
96,"2001073",Exerman-Hersby,Naturreservat,Gällande,2003/11/03,,2003/12/01,2003/12/01,,,,Stockholms Län,Vallentuna,"Ia, Strikt naturreservat (Strict Nature Reserve)",Vallentuna kommun,67.535,67.54,0,51.34,Justerad mot fastighetskarta,1998.021 265,Miljöbalken,Kommun
97,"2002197",Vånsholmen,Naturreservat,Gällande,1969/02/27,,1969/03/27,1969/03/27,,,,Stockholms Län,Värmdö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,17.018,17.02,0.02,5.51,Slutligt inmätt,22R-11-4-67    0120-02-016,Naturvårdslagen,Länsstyrelse
98,"2050038",Rågsved,Naturreservat,Gällande,2018/05/28,,2018/07/06,2018/07/06,,,,Stockholms Län,"Huddinge, Stockholm","IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Stockholms kommun,95.998,89.31,6.59,48.84,Ospecificerad,KS 2018/652,Miljöbalken,Kommun
99,"2000168",Bullerskär,Naturreservat,Gällande,1995/02/13,,1995/03/30,1995/03/30,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,7.659,7.42,0.2,6.84,Justerad mot fastighetskarta,"231-1991-1744, 0188-02-39",Naturvårdslagen,Länsstyrelse
100,"2001075",Exerman-Hersby,Naturreservat,Gällande,2003/12/15,,2004/01/12,2004/01/12,,,,Stockholms Län,Österåker,"Ia, Strikt naturreservat (Strict Nature Reserve)",Vallentuna kommun,3.882,3.87,0,3.64,Ospecificerad,2002.6 265,Miljöbalken,Kommun
101,"2002295",Tranvik,Naturreservat,Gällande,1978/12/20,,1979/01/17,1994/09/12,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Stiftelsen Oscar Hirschs minne,369.781,244.09,125.77,147.99,Justerad mot fastighetskarta,"231-1991-271, 0188-02-004",Naturvårdslagen,Länsstyrelse
102,"2028349",Gräddö-Asken,Naturreservat,Gällande,2014/01/09,,2014/02/13,2014/02/13,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,11.087,6.54,4.47,5.61,Ospecificerad,511-29829-2012 (fd 511-2010-12605),Miljöbalken,Länsstyrelse
